brandName,brandImg
CU,https://contents.lotteon.com/search/brand/P9/55/3/P9553_320_320.jpg/dims/optimize/dims/resize/400x400
이디야커피,https://contents.lotteon.com/search/brand/P3/43/8/P3438_320_320.jpg/dims/optimize/dims/resize/400x400
올리브영,https://contents.lotteon.com/search/brand/P3/25/3/P3253_320_320.jpg/dims/optimize/dims/resize/400x400
던킨,https://contents.lotteon.com/search/brand/P7/52/2/P7522_320_320.jpg/dims/optimize/dims/resize/400x400
홈플러스,https://contents.lotteon.com/search/brand/P3/63/01/P36301_320_320.jpg/dims/optimize/dims/resize/400x400
구글플레이,https://contents.lotteon.com/search/brand/P1/48/P148_320_320.jpg/dims/optimize/dims/resize/400x400
GS25,https://contents.lotteon.com/search/brand/P3/76/1/P3761_320_320.jpg/dims/optimize/dims/resize/400x400
구글,https://contents.lotteon.com/search/brand/P5/93/8/P5938_320_320.jpg/dims/optimize/dims/resize/400x400
도미노피자,https://contents.lotteon.com/search/brand/P7/52/3/P7523_320_320.jpg/dims/optimize/dims/resize/400x400
뚜레쥬르,https://contents.lotteon.com/search/brand/P8/00/P800_320_320.jpg/dims/optimize/dims/resize/400x400
토이저러스,https://contents.lotteon.com/search/brand/P2/12/58/P21258_320_320.jpg/dims/optimize/dims/resize/400x400
메가커피,https://contents.lotteon.com/search/brand/P4/11/77/P41177_320_320.jpg/dims/optimize/dims/resize/400x400
BHC,https://contents.lotteon.com/search/brand/P6/58/9/P6589_320_320.jpg/dims/optimize/dims/resize/400x400
피자헛,https://contents.lotteon.com/search/brand/P1/36/27/P13627_320_320.jpg/dims/optimize/dims/resize/400x400
미스터피자,https://contents.lotteon.com/search/brand/P1/89/85/P18985_320_320.jpg/dims/optimize/dims/resize/400x400
배스킨라빈스,https://contents.lotteon.com/search/brand/P1/68/0/P1680_320_320.jpg/dims/optimize/dims/resize/400x400
이마트,https://contents.lotteon.com/search/brand/P3/75/39/P37539_320_320.jpg/dims/optimize/dims/resize/400x400
이마트24,https://contents.lotteon.com/search/brand/P7/55/5/P7555_320_320.jpg/dims/optimize/dims/resize/400x400
스타벅스,https://contents.lotteon.com/search/brand/P2/38/6/P2386_320_320.jpg/dims/optimize/dims/resize/400x400
스타벅스앳홈,https://contents.lotteon.com/search/brand/P8/30/4/P8304_320_320.jpg/dims/optimize/dims/resize/400x400
정관장,https://contents.lotteon.com/search/brand/P3/60/7/P3607_320_320.jpg/dims/optimize/dims/resize/400x400
맘스터치,https://contents.lotteon.com/search/brand/P7/19/3/P7193_320_320.jpg/dims/optimize/dims/resize/400x400
롯데리아,https://contents.lotteon.com/search/brand/P1/05/4/P1054_320_320.jpg/dims/optimize/dims/resize/400x400
해피머니,https://contents.lotteon.com/search/brand/P4/81/6/P4816_320_320.jpg/dims/optimize/dims/resize/400x400
파리바게뜨,https://contents.lotteon.com/search/brand/P4/38/3/P4383_320_320.jpg/dims/optimize/dims/resize/400x400
설빙,https://contents.lotteon.com/search/brand/P6/63/9/P6639_320_320.jpg/dims/optimize/dims/resize/400x400
크리스피크림,https://contents.lotteon.com/search/brand/P6/79/5/P6795_320_320.jpg/dims/optimize/dims/resize/400x400
네네치킨,https://contents.lotteon.com/search/brand/P3/77/61/P37761_320_320.jpg/dims/optimize/dims/resize/400x400
BBQ,https://contents.lotteon.com/search/brand/P1/99/4/P1994_320_320.jpg/dims/optimize/dims/resize/400x400
컬쳐랜드,https://contents.lotteon.com/search/brand/P3/98/1/P3981_320_320.jpg/dims/optimize/dims/resize/400x400
맥도날드,https://contents.lotteon.com/search/brand/P9/31/9/P9319_320_320.jpg/dims/optimize/dims/resize/400x400
버거킹,https://contents.lotteon.com/search/brand/P2/02/40/P20240_320_320.jpg/dims/optimize/dims/resize/400x400
롯데시네마,https://contents.lotteon.com/search/brand/P1/06/0/P1060_320_320.jpg/dims/optimize/dims/resize/400x400
빽다방,https://contents.lotteon.com/search/brand/P3/94/55/P39455_320_320.jpg/dims/optimize/dims/resize/400x400
신세계백화점,https://contents.lotteon.com/search/brand/P3/38/97/P33897_320_320.jpg/dims/optimize/dims/resize/400x400
메가박스,https://contents.lotteon.com/search/brand/P1/36/8/P1368_320_320.jpg/dims/optimize/dims/resize/400x400
투썸플레이스,https://contents.lotteon.com/search/brand/P4/31/1/P4311_320_320.jpg/dims/optimize/dims/resize/400x400
폴바셋,https://contents.lotteon.com/search/brand/P8/93/8/P8938_320_320.jpg/dims/optimize/dims/resize/400x400
KFC,https://contents.lotteon.com/search/brand/P1/41/10/P14110_320_320.jpg/dims/optimize/dims/resize/400x400
